T,n
10,2.85465e-08
9.9108,5.26262e-08
9.82318,9.59817e-08
9.7371,1.73234e-07
9.65251,3.09498e-07
9.56938,5.47485e-07
9.48767,9.59155e-07
9.40734,1.66461e-06
9.32836,2.86252e-06
9.25069,4.87857e-06
9.17431,8.24221e-06
9.09918,1.38068e-05
9.02527,2.29368e-05
8.95255,3.77963e-05
8.88099,6.1791e-05
8.81057,0.00010024
8.74126,0.000161392
8.67303,0.00025794
8.60585,0.000409286
8.53971,0.00064488
8.47458,0.00100912
8.41043,0.00156852
8.34725,0.00242206
8.285,0.00371611
8.22368,0.00566584
8.16327,0.00858563
8.10373,0.0129321
8.04505,0.0193649
7.98722,0.0288311
7.93021,0.0426838
7.87402,0.0628451
7.81861,0.0920317
7.76398,0.134063
7.7101,0.194283
7.65697,0.28013
7.60456,0.401912
7.55287,0.573839
7.50188,0.81542
7.45156,1.15331
7.40192,1.62376
7.35294,2.2759
7.3046,3.17595
7.25689,4.41289
7.20981,6.10572
7.16332,8.413
7.11744,11.5451
7.07214,15.7803
7.02741,21.4848
6.98324,29.1395
6.93963,39.3727
6.89655,53.0033
6.85401,71.0942
6.81199,95.0208
6.77048,126.556
6.72948,167.98
6.68896,222.211
6.64894,292.978
6.60939,385.028
6.5703,504.385
6.53168,658.669
6.49351,857.497
6.45578,1112.97
6.41849,1440.25
6.38162,1858.32
6.34518,2390.86
6.30915,3067.32
6.27353,3924.24
6.2383,5006.86
6.20347,6370.99
6.16903,8085.37
6.13497,10234.4
6.10128,12921.6
6.06796,16273.3
6.035,20443.7
6.0024,25620.4
5.97015,32031.1
5.93824,39951.5
5.90667,49714.9
5.87544,61723.2
5.84454,76459.8
5.81395,94505.6
5.78369,116556
5.75374,143444
5.7241,176161
5.69476,215892
5.66572,264042
5.63698,322280
5.60852,392583
5.58036,477286
5.55247,579148
5.52486,701417
5.49753,847910
5.47046,1.02311e+06
5.44366,1.23227e+06
5.41712,1.48154e+06
5.39084,1.7781e+06
5.36481,2.1303e+06
5.33903,2.5479e+06
5.3135,3.04222e+06
5.28821,3.6264e+06
5.26316,4.31567e+06
5.23834,5.12764e+06
5.21376,6.08266e+06
5.18941,7.20421e+06
5.16529,8.51932e+06
5.14139,1.00591e+07
5.11771,1.18593e+07
5.09424,1.39608e+07
5.07099,1.64107e+07
5.04796,1.92625e+07
5.02513,2.25776e+07
5.0025,2.64259e+07
4.98008,3.08873e+07
4.95786,3.60523e+07
4.93583,4.20241e+07
4.914,4.89197e+07
4.89237,5.68717e+07
4.87092,6.60303e+07
4.84966,7.65654e+07
4.82859,8.8669e+07
4.80769,1.02558e+08
4.78698,1.18475e+08
4.76644,1.36696e+08
4.74608,1.5753e+08
4.7259,1.81323e+08
4.70588,2.08466e+08
4.68604,2.39394e+08
4.66636,2.74595e+08
4.64684,3.14618e+08
4.62749,3.60072e+08
4.60829,4.11638e+08
4.58926,4.70078e+08
4.57038,5.36237e+08
4.55166,6.11059e+08
4.53309,6.9559e+08
4.51467,7.90995e+08
4.4964,8.98564e+08
4.47828,1.01973e+09
4.4603,1.15608e+09
4.44247,1.30937e+09
4.42478,1.48153e+09
4.40723,1.67472e+09
4.38982,1.89129e+09
4.37254,2.13387e+09
4.3554,2.40531e+09
4.33839,2.70879e+09
4.32152,3.0478e+09
4.30478,3.42614e+09
4.28816,3.84804e+09
4.27168,4.31809e+09
4.25532,4.84135e+09
4.23908,5.42337e+09
4.22297,6.07021e+09
4.20698,6.7885e+09
4.19111,7.58549e+09
4.17537,8.4691e+09
4.15973,9.44797e+09
4.14422,1.05315e+10
4.12882,1.17301e+10
4.11353,1.30547e+10
4.09836,1.45178e+10
4.0833,1.61323e+10
4.06835,1.79129e+10
4.05351,1.98751e+10
4.03877,2.20358e+10
4.02414,2.44135e+10
4.00962,2.70281e+10
3.99521,2.99012e+10
3.98089,3.30563e+10
3.96668,3.65185e+10
3.95257,4.03153e+10
3.93856,4.44762e+10
3.92465,4.90332e+10
3.91083,5.40206e+10
3.89712,5.94756e+10
3.8835,6.54382e+10
3.86997,7.19516e+10
3.85654,7.90621e+10
3.8432,8.68198e+10
3.82995,9.52783e+10
3.81679,1.04495e+11
3.80373,1.14533e+11
3.79075,1.25458e+11
3.77786,1.37341e+11
3.76506,1.50259e+11
3.75235,1.64295e+11
3.73972,1.79536e+11
3.72717,1.96076e+11
3.71471,2.14016e+11
3.70233,2.33463e+11
3.69004,2.54534e+11
3.67782,2.77351e+11
3.66569,3.02045e+11
3.65364,3.28757e+11
3.64166,3.57637e+11
3.62976,3.88844e+11
3.61795,4.22548e+11
3.6062,4.5893e+11
3.59454,4.98184e+11
3.58295,5.40516e+11
3.57143,5.86142e+11
3.55999,6.35297e+11
3.54862,6.88227e+11
3.53732,7.45195e+11
3.52609,8.06479e+11
3.51494,8.72375e+11
3.50385,9.43198e+11
3.49284,1.01928e+12
3.48189,1.10097e+12
3.47102,1.18866e+12
3.46021,1.28272e+12
3.44947,1.38359e+12
3.43879,1.4917e+12
3.42818,1.60753e+12
3.41763,1.73158e+12
3.40716,1.86436e+12
3.39674,2.00644e+12
3.38639,2.1584e+12
3.3761,2.32086e+12
3.36587,2.49448e+12
3.3557,2.67994e+12
3.3456,2.87797e+12
3.33556,3.08934e+12
3.32557,3.31485e+12
3.31565,3.55537e+12
3.30579,3.81178e+12
3.29598,4.08503e+12
3.28623,4.37612e+12
3.27654,4.68608e+12
3.26691,5.01603e+12
3.25733,5.36711e+12
3.24781,5.74054e+12
3.23834,6.1376e+12
3.22893,6.55963e+12
3.21958,7.00804e+12
3.21027,7.4843e+12
3.20102,7.98996e+12
3.19183,8.52666e+12
3.18269,9.0961e+12
3.1736,9.70006e+12
3.16456,1.03404e+13
3.15557,1.10191e+13
3.14663,1.17383e+13
3.13775,1.25e+13
3.12891,1.33065e+13
3.12012,1.41602e+13
3.11139,1.50636e+13
3.1027,1.60191e+13
3.09406,1.70296e+13
3.08547,1.80978e+13
3.07692,1.92267e+13
3.06843,2.04193e+13
3.05998,2.16789e+13
3.05157,2.30088e+13
3.04321,2.44125e+13
3.0349,2.58937e+13
3.02663,2.74561e+13
3.01841,2.91037e+13
3.01023,3.08407e+13
3.0021,3.26714e+13
2.99401,3.46002e+13
2.98597,3.66319e+13
2.97796,3.87713e+13
2.97,4.10235e+13
2.96209,4.33937e+13
2.95421,4.58875e+13
2.94638,4.85106e+13
2.93858,5.1269e+13
2.93083,5.41687e+13
2.92312,5.72163e+13
2.91545,6.04184e+13
2.90782,6.37819e+13
2.90023,6.73142e+13
2.89268,7.10225e+13
2.88517,7.49149e+13
2.8777,7.89992e+13
2.87026,8.32839e+13
2.86287,8.77778e+13
2.85551,9.24897e+13
2.84819,9.7429e+13
2.84091,1.02606e+14
2.83366,1.08029e+14
2.82646,1.13711e+14
2.81928,1.1966e+14
2.81215,1.2589e+14
2.80505,1.32411e+14
2.79799,1.39234e+14
2.79096,1.46374e+14
2.78396,1.53842e+14
2.77701,1.61652e+14
2.77008,1.69817e+14
2.76319,1.78352e+14
