N_molecules,Madelung,Madelung_borders
1,-0,1
1,-0,1
2,2,1.16667
2,2,1.16667
3,1,1.23333
3,1,1.23333
4,1.66667,1.26905
4,1.66667,1.26905
5,1.16667,1.29127
5,1.16667,1.29127
6,1.56667,1.30642
6,1.56667,1.30642
7,1.23333,1.31741
7,1.23333,1.31741
8,1.51905,1.32574
8,1.51905,1.32574
9,1.26905,1.33228
9,1.26905,1.33228
10,1.49127,1.33754
10,1.49127,1.33754
11,1.29127,1.34187
11,1.29127,1.34187
12,1.47309,1.34549
12,1.47309,1.34549
13,1.30642,1.34857
13,1.30642,1.34857
14,1.46027,1.35122
14,1.46027,1.35122
15,1.31741,1.35352
15,1.31741,1.35352
16,1.45074,1.35553
16,1.45074,1.35553
17,1.32574,1.35731
17,1.32574,1.35731
18,1.44339,1.3589
18,1.44339,1.3589
19,1.33228,1.36032
19,1.33228,1.36032
20,1.43754,1.36161
20,1.43754,1.36161
21,1.33754,1.36277
21,1.33754,1.36277
22,1.43278,1.36383
22,1.43278,1.36383
23,1.34187,1.36479
23,1.34187,1.36479
24,1.42883,1.36568
24,1.42883,1.36568
25,1.34549,1.36649
25,1.34549,1.36649
26,1.42549,1.36725
26,1.42549,1.36725
27,1.34857,1.36795
27,1.34857,1.36795
28,1.42265,1.3686
28,1.42265,1.3686
29,1.35122,1.3692
29,1.35122,1.3692
30,1.42018,1.36977
30,1.42018,1.36977
31,1.35352,1.3703
31,1.35352,1.3703
32,1.41803,1.37079
32,1.41803,1.37079
33,1.35553,1.37126
33,1.35553,1.37126
34,1.41614,1.3717
34,1.41614,1.3717
35,1.35731,1.37211
35,1.35731,1.37211
36,1.41446,1.3725
36,1.41446,1.3725
37,1.3589,1.37287
37,1.3589,1.37287
38,1.41296,1.37322
38,1.41296,1.37322
39,1.36032,1.37356
39,1.36032,1.37356
40,1.41161,1.37387
40,1.41161,1.37387
41,1.36161,1.37417
41,1.36161,1.37417
42,1.41039,1.37446
42,1.41039,1.37446
43,1.36277,1.37473
43,1.36277,1.37473
44,1.40928,1.375
44,1.40928,1.375
45,1.36383,1.37524
45,1.36383,1.37524
46,1.40827,1.37548
46,1.40827,1.37548
47,1.36479,1.37571
47,1.36479,1.37571
48,1.40734,1.37593
48,1.40734,1.37593
49,1.36568,1.37614
49,1.36568,1.37614
50,1.40649,1.37634
50,1.40649,1.37634
51,1.36649,1.37654
51,1.36649,1.37654
52,1.40571,1.37673
52,1.40571,1.37673
53,1.36725,1.3769
53,1.36725,1.3769
54,1.40498,1.37708
54,1.40498,1.37708
55,1.36795,1.37724
55,1.36795,1.37724
56,1.40431,1.37741
56,1.40431,1.37741
57,1.3686,1.37756
57,1.3686,1.37756
58,1.40368,1.37771
58,1.40368,1.37771
59,1.3692,1.37786
59,1.3692,1.37786
60,1.4031,1.378
60,1.4031,1.378
61,1.36977,1.37813
61,1.36977,1.37813
62,1.40255,1.37826
62,1.40255,1.37826
63,1.3703,1.37839
63,1.3703,1.37839
64,1.40204,1.37851
64,1.40204,1.37851
65,1.37079,1.37863
65,1.37079,1.37863
66,1.40156,1.37875
66,1.40156,1.37875
67,1.37126,1.37886
67,1.37126,1.37886
68,1.40111,1.37897
68,1.40111,1.37897
69,1.3717,1.37907
69,1.3717,1.37907
70,1.40068,1.37918
70,1.40068,1.37918
71,1.37211,1.37928
71,1.37211,1.37928
72,1.40028,1.37937
72,1.40028,1.37937
73,1.3725,1.37947
73,1.3725,1.37947
74,1.3999,1.37956
74,1.3999,1.37956
75,1.37287,1.37965
75,1.37287,1.37965
76,1.39954,1.37974
76,1.39954,1.37974
77,1.37322,1.37982
77,1.37322,1.37982
78,1.3992,1.3799
78,1.3992,1.3799
79,1.37356,1.37999
79,1.37356,1.37999
80,1.39887,1.38006
80,1.39887,1.38006
81,1.37387,1.38014
81,1.37387,1.38014
82,1.39856,1.38022
82,1.39856,1.38022
83,1.37417,1.38029
83,1.37417,1.38029
84,1.39827,1.38036
84,1.39827,1.38036
85,1.37446,1.38043
85,1.37446,1.38043
86,1.39799,1.3805
86,1.39799,1.3805
87,1.37473,1.38056
87,1.37473,1.38056
88,1.39772,1.38063
88,1.39772,1.38063
89,1.375,1.38069
89,1.375,1.38069
90,1.39747,1.38075
90,1.39747,1.38075
91,1.37524,1.38081
91,1.37524,1.38081
92,1.39722,1.38087
92,1.39722,1.38087
93,1.37548,1.38093
93,1.37548,1.38093
94,1.39699,1.38099
94,1.39699,1.38099
95,1.37571,1.38105
95,1.37571,1.38105
96,1.39677,1.3811
96,1.39677,1.3811
97,1.37593,1.38115
97,1.37593,1.38115
98,1.39655,1.38121
98,1.39655,1.38121
99,1.37614,1.38126
99,1.37614,1.38126
100,1.39634,1.38131
